ÏñÔª	¹âÇ¿
1922	 52
1923	 56
1924	 60
1925	 66
1926	 74
1927	 84
1928	 96
1929	108
1930	120
1931	131
1932	139
1933	149
1934	156
1935	163
1936	167
1937	173
1938	179
1939	183
1940	187
1941	191
1942	193
1943	197
1944	200
1945	200
1946	201
1947	201
1948	202
1949	203
1950	203
1951	203
1952	203
1953	199
1954	198
1955	198
1956	196
1957	195
1958	195
1959	194
1960	194
1961	196
1962	197
1963	198
1964	198
1965	198
1966	195
1967	189
1968	184
1969	174
1970	164
1971	150
1972	137
1973	123
1974	111
1975	101
1976	 93
1977	 87
1978	 81
1979	 74
1980	 71
1981	 69
1982	 67
1983	 65
1984	 63
1985	 62
1986	 60
1987	 60
1988	 59
1989	 58
1990	 58
1991	 59
1992	 64
1993	 72
1994	 83
1995	 96
1996	110
1997	124
1998	138
1999	150
2000	160
2001	168
2002	176
2003	180
2004	185
2005	189
2006	192
2007	193
2008	195
2009	195
2010	194
2011	193
2012	194
2013	191
2014	188
2015	184
2016	177
2017	169
2018	159
2019	148
2020	133
2021	118
2022	106
2023	 96
2024	 90
2025	 85
2026	 78
2027	 72
2028	 67
2029	 63
2030	 59
2031	 57
2032	 56
2033	 56
2034	 56
2035	 56
2036	 54
2037	 53
2038	 54
2039	 55
2040	 55
2041	 53
2042	 53
2043	 51
2044	 49
2045	 49
2046	 48
2047	 47
2048	 47
2049	 48
2050	 48
2051	 49
2052	 50
2053	 51
2054	 51
2055	 50
2056	 50
2057	 50
2058	 49
2059	 49
2060	 49
2061	 50
2062	 50
2063	 52
2064	 52
2065	 52
2066	 54
2067	 53
2068	 51
2069	 50
2070	 49
2071	 48
2072	 47
2073	 47
2074	 47
2075	 46
2076	 45
2077	 44
2078	 44
2079	 44
2080	 44
2081	 44
2082	 44
2083	 45
2084	 49
2085	 53
2086	 56
2087	 64
2088	 73
2089	 84
2090	 97
2091	111
2092	123
2093	134
2094	145
2095	154
2096	161
2097	166
2098	173
2099	179
2100	185
2101	189
2102	193
2103	195
2104	198
2105	198
2106	200
2107	198
2108	198
2109	197
2110	198
2111	198
2112	199
2113	202
2114	201
2115	202
2116	202
2117	201
2118	201
2119	201
2120	199
